expertiseName,expertiseUri,count
Abiogenic,http://info.deepcarbon.net/individual/dc25b6009-d4e3-4898-a3b6-5942fd0a88dc,12
Abiogenic Hydrocarbon Exploration,http://info.deepcarbon.net/individual/75be8352d5b0a437013fa90dca,1
Abiogenic/Biogenic,http://info.deepcarbon.net/individual/cfa4c1e51dc164cca1a284d34b,1
Adsorption and Diffusion studies in coal/shale,http://info.deepcarbon.net/individual/8a79c157e38a382fa2e17ab21b,1
Anaerobic Hydrocarbon Degradation,http://info.deepcarbon.net/individual/d09b3b3ab-00c4-42d2-9d48-df76928996e0,7
Analytical chemistry,http://abstractsearch.agu.org/keywords/4803,3
Analytical chemistry,http://abstractsearch.agu.org/keywords/4803,3
Applied Zymurgy,http://info.deepcarbon.net/individual/f91eb04109e405f496e964c8f2,1
Aqueous Geochemistry,http://info.deepcarbon.net/individual/db5783619-dc95-4b8f-9f5c-d53e9237acf6,28
Archaea,http://info.deepcarbon.net/individual/a15649486a879f76295730d458,1
Art direction,http://info.deepcarbon.net/individual/4fcfae486f543bd6cc9390612d,1
Astrobiology,http://info.deepcarbon.net/individual/dcba3b4bb-935a-444c-a631-c15068e92077,29
Astrochemistry,http://info.deepcarbon.net/individual/d1b47de4e-78b0-40bc-8629-8b28527fbf44,1
Atmosphere,http://info.deepcarbon.net/individual/52acbb1cce164d4a814e74a536,1
Atmospheric Chemistry,http://info.deepcarbon.net/individual/b79f6458-abe9-4787-9b3a-f83fc3fbfff0,4
Atmospheric spectroscopy,http://info.deepcarbon.net/individual/1d6b5170ef0943ad18008fe304,1
Bacteria,http://info.deepcarbon.net/individual/6c6ce85570bc8a0e1d2acecbca,1
Bacterial Genetics,http://info.deepcarbon.net/individual/d1fea5010-8e4c-4421-b97a-d9b5a42eba8a,8
Benthic phages,http://info.deepcarbon.net/individual/0ff798345311d2f736561a1668,1
Biochemistry,http://info.deepcarbon.net/individual/df4a008bd-8fea-462f-b667-6f688beb7581,18
Biodegraded and Heavy Oil,http://info.deepcarbon.net/individual/d12248eec-f17d-43d3-a34a-05cb741ae132,7
Biogenic,http://info.deepcarbon.net/individual/n6425,6
Biogeochemistry,http://info.deepcarbon.net/individual/d595f820e-dc9f-497a-9dff-5927432a0d60,53
Biology,http://info.deepcarbon.net/individual/dd8edee97-27fb-4ead-be8c-63f1e7e655c9,12
Biology and Physics,http://info.deepcarbon.net/individual/5e228330aabbeedec8a4628cdd,1
Biology of extremophiles,http://info.deepcarbon.net/individual/90137a5a64dbd51021b0086c16,1
Biomineralization,http://info.deepcarbon.net/individual/3bebddd4837e2b39d2ca33d03f,1
Biomineralization,http://info.deepcarbon.net/individual/509055f20392ff0d39a878cce1,1
Biophysical Chemistry,http://info.deepcarbon.net/individual/d4cf7acbb-02d8-4695-862a-36cec37f8a2b,4
Bioremediation,http://info.deepcarbon.net/individual/d058a43a3-5bc7-4d26-9c03-4c9b04b32b9a,9
Bonding Analysis,http://info.deepcarbon.net/individual/6fd97c80726defa6477377cac2,1
Borehole Measurements,http://info.deepcarbon.net/individual/dc7c326ff-5560-4cb5-8bfd-da33f9bbd1c1,3
